Time_sec,voltage_microv,vocalization,phrase
1.641,22.621,spoken,1
1.763,-31.553,spoken,1
2.41,11.891,spoken,1
2.803,-19.594,spoken,1
3.012,16.013,spoken,1
3.305,-21.8312,spoken,1
3.517,20.125,spoken,1
0.747,-34.125,spoken,2
1.306,-27.1656,spoken,2
1.376,17.3281,spoken,2
1.504,-17.1281,spoken,2
1.66,-24.7688,spoken,2
1.915,20.4844,spoken,2
2.35,21.7375,spoken,2
2.359,-16.15,spoken,2
2.736,12.6,spoken,2
2.844,15.6687,spoken,2
2.95,-10.5625,spoken,2
0.644,-14.5625,spoken,3
0.702,13.1406,spoken,3
1.012,-17.3875,spoken,3
1.017,20.6812,spoken,3
1.087,-21.1469,spoken,3
1.163,14.0094,spoken,3
1.229,-15.0594,spoken,3
1.831,10.4156,spoken,3
1.939,-11.6781,spoken,3
2.139,-24.5,spoken,3
2.16,31.7687,spoken,3
2.541,-34.9469,spoken,3
2.522,37.0031,spoken,3
2.844,13.0969,spoken,3
0.64,19.0062,spoken,4
0.775,-16.225,spoken,4
1.089,-18.8156,spoken,4
1.341,-15.7594,spoken,4
1.647,14.75,spoken,4
1.729,18.7844,spoken,4
2.038,-24.3875,spoken,4
2.287,-19.6125,spoken,4
3.095,10.9344,spoken,4
0.819,-27.8281,spoken,5
0.899,17.5875,spoken,5
1.544,18.475,spoken,5
2.042,11.5687,spoken,5
2.048,-25.4031,spoken,5
2.433,20.3156,spoken,5
2.738,-14.1375,spoken,5
0.327,12.6656,spoken,6
0.525,-19.5531,spoken,6
0.768,16.8844,spoken,6
0.906,-11.7562,spoken,6
1.164,19.9906,spoken,6
1.224,-32.0312,spoken,6
1.425,36.425,spoken,6
1.683,13.9406,spoken,6
1.707,-19.3938,spoken,6
2.276,12.6,spoken,6
2.443,-11.9437,spoken,6
2.706,-12.1375,spoken,6
3.003,10.125,spoken,6
3.124,-10.6219,spoken,6
3.458,11.55,spoken,6
0.805,12.2,spoken,7
1,-17.2406,spoken,7
1.205,-18.175,spoken,7
1.212,13.4906,spoken,7
1.404,-48.475,spoken,7
1.583,37.125,spoken,7
1.926,-23.7156,spoken,7
2.398,-26.0969,spoken,7
2.517,-13.469,spoken,7
2.8,-12.1813,spoken,7
3.409,10.3781,spoken,7
0.353,13.4062,spoken,8
0.807,-38.9375,spoken,8
0.818,19.0312,spoken,8
1.793,-16.9062,spoken,8
1.995,12.15,spoken,8
2.441,17.4469,spoken,8
2.58,-26.3469,spoken,8
2.771,10.6312,spoken,8
2.881,-12.7312,spoken,8
0.756,-19.35,spoken,9
0.934,-11.7875,spoken,9
1.279,11.2594,spoken,9
1.341,-11.4406,spoken,9
1.505,-12.7937,spoken,9
2.349,-18.425,spoken,9
2.547,20.0531,spoken,9
2.746,-18.7187,spoken,9
2.844,11.4313,spoken,9
0.784,17.775,spoken,10
1.035,-19.4906,spoken,10
1.235,13.7344,spoken,10
1.279,-11.8469,spoken,10
1.371,-17.7344,spoken,10
1.916,-17.4875,spoken,10
2.06,-16.2906,spoken,10
2.101,12.8094,spoken,10
0.669,51.175,silent,1
0.689,-23.275,silent,1
0.851,-18.8313,silent,1
1.482,-14.3687,silent,1
1.986,12.6094,silent,1
2.296,-11.6188,silent,1
2.483,17.0469,silent,1
2.543,-20.9156,silent,1
0.035,-18.4562,silent,2
0.807,-29.075,silent,2
0.845,28.8688,silent,2
0.954,-15.3281,silent,2
1.204,-11.2531,silent,2
1.258,15.0437,silent,2
1.663,18.3469,silent,2
1.912,-11.5719,silent,2
2.269,-13.9469,silent,2
2.684,-11.825,silent,2
0.417,12.1531,silent,3
0.852,11.1125,silent,3
1.054,11.45,silent,3
1.835,12.7656,silent,3
2.259,-11.4406,silent,3
2.836,10.2906,silent,3
2.986,10.7312,silent,3
0.389,11.3875,silent,4
0.51,-12.0375,silent,4
0.728,-13.5469,silent,4
1.118,-12.6031,silent,4
1.244,11.7063,silent,4
1.858,36.6594,silent,4
2.067,-20.3562,silent,4
2.355,18.0594,silent,4
2.684,12.2969,silent,4
2.699,-63.3,silent,4
2.899,-15.7062,silent,4
0.25,-12.0812,silent,5
0.669,-10.4937,silent,5
1.221,14.7281,silent,5
1.811,16.9344,silent,5
2.004,-10.8562,silent,5
2.429,32.4281,silent,5
2.867,-17.7437,silent,5
0.335,17.75,silent,6
0.695,-19.0406,silent,6
1.17,-28.2594,silent,6
1.286,-26.2781,silent,6
1.537,-16.9594,silent,6
1.938,23.5281,silent,6
2.263,-14.9844,silent,6
2.605,17.35,silent,6
3.008,-23.15,silent,6
0.368,11.3375,silent,7
0.719,14.4469,silent,7
0.963,-11.6188,silent,7
1.271,10.3187,silent,7
1.383,-15.5219,silent,7
1.89,21.6375,silent,7
2.19,-14.7469,silent,7
2.509,-18.5,silent,7
0.9,10.8625,silent,8
1.844,-13.9875,silent,8
2.039,12.7438,silent,8
3.023,-15.6219,silent,8
3.286,13.6656,silent,8
3.435,-13.375,silent,8
1.082,13.3437,silent,9
1.265,17.5469,silent,9
1.457,-11.1844,silent,9
2.319,23.6906,silent,9
2.675,-11.5625,silent,9
2.68,13.3469,silent,9
2.931,15.5031,silent,9
3.213,-18.45,silent,9
3.303,10.3719,silent,9
3.608,-17.3344,silent,9
0.7,12.4812,silent,10
1.55,16.3875,silent,10
1.909,-14.2875,silent,10
3.075,-17.2062,silent,10
3.769,11.6062,silent,10
