subject,vocalization,time,voltage
1,spoken,1.628,-27.7613
1,spoken,1.641,19.3394
1,spoken,1.763,-19.3587
1,spoken,1.717,10.8914
1,spoken,2.628,12.4175
1,spoken,2.795,11.164
1,spoken,2.803,-15.1849
1,spoken,3.009,-17.1411
1,spoken,3.012,13.4265
1,spoken,3.115,-22.1701
1,spoken,3.197,16.7615
1,spoken,3.537,-33.4808
1,spoken,3.541,21.4466
1,silent,0.512,-15.6502
1,silent,0.519,13.6871
1,silent,0.669,43.0716
1,silent,0.689,-35.9923
1,silent,0.851,-11.5008
1,silent,0.855,11.3604
1,silent,1.482,-12.0793
1,silent,1.485,10.22
1,silent,2.162,-15.8013
1,silent,2.483,12.6597
1,silent,2.543,-19.9493
2,spoken,0.8,83.4621
2,spoken,0.81,-136.3397
2,spoken,0.942,-85.213
2,spoken,1.041,-103.2535
2,spoken,1.1,107.4026
2,spoken,1.3,120.8139
2,spoken,1.42,-100.1158
2,spoken,1.8,87.9107
2,spoken,1.838,-108.5772
2,spoken,2.153,-100.5684
2,spoken,2.2,99.6926
2,spoken,2.4,96.9229
2,spoken,2.441,-90.8223
2,silent,0.435,-123.0438
2,silent,0.5,96.6145
2,silent,0.7,105.1816
2,silent,0.747,-84.8719
2,silent,1,103.5232
2,silent,1.066,-114.3488
2,silent,1.5,94.4315
2,silent,1.63,-124.5099
2,silent,2.132,-113.0786
2,silent,2.546,-97.6115
3,spoken,0.954,-24.9254
3,spoken,1,37.5641
3,spoken,1.2,16.0722
3,spoken,1.225,-15.0813
3,spoken,1.4,19.5115
3,spoken,1.507,-21.1693
3,spoken,1.591,-16.698
3,spoken,1.6,19.3176
3,spoken,1.9,33.2293
3,spoken,1.924,-23.4336
3,spoken,2.1,25.8927
3,spoken,2.104,-26.348
3,spoken,2.189,-26.968
3,spoken,2.2,21.7598
3,silent,0.2,29.8455
3,silent,0.279,-29.2342
3,silent,0.656,-20.0043
3,silent,0.7,21.2177
3,silent,0.843,-15.223
3,silent,0.9,18.632
3,silent,1.178,-18.0685
3,silent,1.2,18.3647
4,spoken,0.793,-77.2274
4,spoken,0.846,37.4336
4,spoken,1.002,-38.4335
4,spoken,1.05,43.7075
4,spoken,1.207,44.0779
4,spoken,1.212,-45.1747
4,spoken,1.368,-40.9375
4,spoken,1.388,36.4213
4,spoken,1.491,39.0279
4,spoken,1.494,-38.5785
4,spoken,1.627,-30.2535
4,spoken,1.669,40.3898
4,spoken,1.764,-42.5786
4,spoken,1.828,46.7429
4,spoken,2.219,56.9385
4,spoken,2.231,-39.4465
4,spoken,2.387,46.2337
4,spoken,2.39,-38.176
4,spoken,2.538,-46.1917
4,spoken,2.505,39.056
4,silent,0.494,-82.7622
4,silent,0.531,92.0251
4,silent,0.721,-102.2597
4,silent,0.921,96.2188
4,silent,1.191,-97.9023
4,silent,1.388,106.0813
4,silent,1.955,-113.4586
4,silent,2.414,123.9911
4,silent,3.055,94.5337
4,silent,3.081,-95.2064
5,spoken,0.8,48.3773
5,spoken,0.808,-47.504
5,spoken,1.04,-55.9995
5,spoken,1.1,37.036
5,spoken,1.4,47.9926
5,spoken,1.438,-42.822
5,spoken,1.6,47.8317
5,spoken,1.608,-66.5613
5,spoken,1.773,-58.34
5,spoken,1.8,59.6676
5,spoken,2.1,55.077
5,spoken,2.106,-52.3385
5,spoken,2.3,71.6285
5,spoken,2.323,-59.9217
5,spoken,2.491,-70.2624
5,spoken,2.5,58.4427
5,silent,0,47.7371
5,silent,0.185,-79.0317
5,silent,0.2,87.9215
5,silent,0.3,52.0635
5,silent,0.354,-48.3559
5,silent,0.588,-50.6844
5,silent,0.6,54.9984
5,silent,0.7,50.3483
5,silent,0.739,-93.7571
5,silent,0.9,56.9787
5,silent,0.972,-45.2214
5,silent,1.139,-44.2188
5,silent,1.2,77.8646
5,silent,1.205,-79.8659
5,silent,1.37,-59.3627
5,silent,1.4,80.3201
5,silent,1.5,60.6237
5,silent,1.606,-64.793
5,silent,1.8,52.4298
5,silent,1.82,-81.3892
